City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,279.61,76,100,2.68,NZ,1686848767
1,lagonoy,13.7342,123.5207,299.32,88,100,1.62,PH,1686848767
2,maumere,-8.6199,122.2111,297.06,79,100,1.98,ID,1686848767
3,fort bragg,35.139,-79.006,303.05,48,75,2.06,US,1686848672
4,mankera,31.3866,71.4407,311.49,28,51,5.14,PK,1686848768
5,ust-nera,64.5667,143.2,283.24,80,43,1.3,RU,1686848768
6,blackmans bay,-43.0167,147.3167,279.55,86,97,3.13,AU,1686848768
7,port-aux-francais,-49.35,70.2167,279.27,96,100,12.16,TF,1686848768
8,gadzhiyevo,69.2551,33.3362,279.68,63,40,10.09,RU,1686848769
9,east london,-33.0153,27.9116,287.67,82,0,3.6,ZA,1686848769
10,ancud,-41.8697,-73.8203,281.83,65,94,3.3,CL,1686848769
11,al mahwit,15.4701,43.5448,291.07,65,87,2.54,YE,1686848769
12,novyy turtkul',41.55,61.0167,300.1,14,89,7.91,UZ,1686848770
13,inari,68.906,27.0288,288.26,40,82,5.06,FI,1686848770
14,qarqaraly,49.4058,75.4742,285.37,41,21,1.85,KZ,1686848770
15,wailua homesteads,22.0669,-159.378,296.59,91,100,7.2,US,1686848770
16,port mathurin,-19.6833,63.4167,297.85,74,18,7.78,MU,1686848770
17,adamstown,-25.066,-130.1015,294.46,68,36,4.82,PN,1686848771
18,whitehorse,60.7161,-135.0538,284.83,53,75,6.17,CA,1686848771
19,bethel,41.3712,-73.414,296.98,62,100,3.09,US,1686848771
20,longyearbyen,78.2186,15.6401,277.06,65,75,4.63,SJ,1686848515
21,oranjemund,-28.55,16.4333,288.89,81,48,1.84,NA,1686848772
22,flying fish cove,-10.4217,105.6791,298.97,88,75,5.14,CX,1686848772
23,albany,42.6001,-73.9662,296.84,62,66,1.34,US,1686848242
24,fale old settlement,-9.3852,-171.2468,302.01,70,91,7.99,TK,1686848773
25,lata,40.1629,-8.3327,303.66,48,30,4.53,PT,1686848773
26,grytviken,-54.2811,-36.5092,272.8,82,88,2.33,GS,1686848773
27,stanley,54.868,-1.6985,294.66,55,0,4.12,GB,1686848773
28,labrador city,52.9463,-66.9114,288.1,77,100,2.57,CA,1686848773
